team_id;team_name;team_code;team_country;founded;is_national;team_logo;stadium;season;league
33;Manchester United;MUN;England;1878;False;https://media.api-sports.io/football/teams/33.png;Old Trafford;2023;39
34;Newcastle;NEW;England;1892;False;https://media.api-sports.io/football/teams/34.png;St. James' Park;2023;39
35;Bournemouth;BOU;England;1899;False;https://media.api-sports.io/football/teams/35.png;Vitality Stadium;2023;39
36;Fulham;FUL;England;1879;False;https://media.api-sports.io/football/teams/36.png;Craven Cottage;2023;39
39;Wolves;WOL;England;1877;False;https://media.api-sports.io/football/teams/39.png;Molineux Stadium;2023;39
40;Liverpool;LIV;England;1892;False;https://media.api-sports.io/football/teams/40.png;Anfield;2023;39
42;Arsenal;ARS;England;1886;False;https://media.api-sports.io/football/teams/42.png;Emirates Stadium;2023;39
44;Burnley;BUR;England;1882;False;https://media.api-sports.io/football/teams/44.png;Turf Moor;2023;39
45;Everton;EVE;England;1878;False;https://media.api-sports.io/football/teams/45.png;Goodison Park;2023;39
47;Tottenham;TOT;England;1882;False;https://media.api-sports.io/football/teams/47.png;Tottenham Hotspur Stadium;2023;39
48;West Ham;WES;England;1895;False;https://media.api-sports.io/football/teams/48.png;London Stadium;2023;39
49;Chelsea;CHE;England;1905;False;https://media.api-sports.io/football/teams/49.png;Stamford Bridge;2023;39
50;Manchester City;MAC;England;1880;False;https://media.api-sports.io/football/teams/50.png;Etihad Stadium;2023;39
51;Brighton;BRI;England;1901;False;https://media.api-sports.io/football/teams/51.png;The American Express Community Stadium;2023;39
52;Crystal Palace;CRY;England;1905;False;https://media.api-sports.io/football/teams/52.png;Selhurst Park;2023;39
55;Brentford;BRE;England;1889;False;https://media.api-sports.io/football/teams/55.png;Gtech Community Stadium;2023;39
62;Sheffield Utd;SHE;England;1889;False;https://media.api-sports.io/football/teams/62.png;Bramall Lane;2023;39
65;Nottingham Forest;NOT;England;1865;False;https://media.api-sports.io/football/teams/65.png;The City Ground;2023;39
66;Aston Villa;AST;England;1874;False;https://media.api-sports.io/football/teams/66.png;Villa Park;2023;39
1359;Luton;LUT;England;1885;False;https://media.api-sports.io/football/teams/1359.png;Kenilworth Road;2023;39
